Mes,CBA-Linea de Indigencia,inversa del coeficiente de Engel,CBA-Linea de pobreza
2017-01-01 00:00:00,1848.5,2.74,5064.89
2017-02-01 00:00:00,1882.42,2.76,5195.4792
2017-03-01 00:00:00,1939.76,2.75,5334.34
2017-04-01 00:00:00,1975.67,2.78,5492.3625999999995
2017-05-01 00:00:00,1994.94,2.78,5545.9331999999995
2017-06-01 00:00:00,2012.13,2.79,5613.8427
2017-07-01 00:00:00,2034.9,2.78,5657.022
2017-08-01 00:00:00,2074.38,2.77,5746.0326000000005
2017-09-01 00:00:00,2101.72,2.77,5821.764399999999
2017-10-01 00:00:00,2137.17,2.77,5919.9609
2017-11-01 00:00:00,2192.85,2.77,6074.1945
2017-12-01 00:00:00,2221.58,2.85,6331.503
2018-01-01 00:00:00,2271.63,2.83,6428.74
2018-02-01 00:00:00,2343.56,2.85,6679.146
2018-03-01 00:00:00,2367.1,2.86,6769.93
2018-04-01 00:00:00,2373.68,2.9,6883.7
2018-05-01 00:00:00,2493.43,2.86,7131.24
2018-06-01 00:00:00,2615.63,2.84,7428.3892
2018-07-01 00:00:00,2710.54,2.81,7616.6174
2018-08-01 00:00:00,2782.76,2.84,7903.0384
2018-09-01 00:00:00,3015.31,2.83,8533.3273
2018-10-01 00:00:00,3242.01,2.82,9142.4682
2018-11-01 00:00:00,3387.27,2.82,9552.1014
2018-12-01 00:00:00,3393.87,2.84,9638.5908
2019-01-01 00:00:00,3521.68,2.84,10001.57
2019-02-01 00:00:00,3694.36,2.82,10418.1
2019-03-01 00:00:00,3850.73,2.81,10820.55
2019-04-01 00:00:00,3906.06,2.83,11054.15
2019-05-01 00:00:00,3986.32,2.84,11321.15
2019-06-01 00:00:00,4122.05,2.85,11747.8425
2019-07-01 00:00:00,4242.66,2.84,12049.1544
2019-08-01 00:00:00,4440.51,2.83,12566.643300000002
2019-09-01 00:00:00,4702.18,2.84,13354.1912
2019-10-01 00:00:00,4794.87,2.85,13665.379500000001
2019-11-01 00:00:00,5090.92,2.82,14356.3944
2019-12-01 00:00:00,5226.02,2.84,14841.8968
2020-01-01 00:00:00,5510.61,2.78,15319.495799999999
2020-02-01 00:00:00,5661.46,2.75,15569.015
2020-03-01 00:00:00,5846.78,2.75,16078.644999999999
2020-04-01 00:00:00,5972.49,2.71,16185.4479
2020-05-01 00:00:00,5952.62,2.74,16310.178800000002
2020-06-01 00:00:00,5997.44,2.76,16552.9344
2020-07-01 00:00:00,6109.28,2.759999541680853,16861.61
2020-08-01 00:00:00,6291.56,2.75,17301.79
2020-09-01 00:00:00,6521.04,2.759999938660091,17998.07
2020-10-01 00:00:00,6985.63,2.730000014315101,19070.77
2020-11-01 00:00:00,7258.73,2.7299996004810763,19816.33
2020-12-01 00:00:00,7630.42,2.7100002358978927,20678.44
2021-01-01 00:00:00,8013.8,2.6999999999999997,21637.26
2021-02-01 00:00:00,8302.36,2.6799994218511363,22250.32
2021-03-01 00:00:00,8623.28,2.6899996289115045,23196.62
2021-04-01 00:00:00,8892.86,2.679999460241137,23832.86
2021-05-01 00:00:00,9132.33,2.669999879548812,24383.32
2021-06-01 00:00:00,9411.48,2.6600003400102854,25034.54
2021-07-01 00:00:00,9625.75,2.64,25411.98
2021-08-01 00:00:00,9712.26,2.66,25834.61
2021-09-01 00:00:00,9984.09,2.66,26557.68
2021-10-01 00:00:00,10324.08,2.66,27462.05
2021-11-01 00:00:00,10629.87,2.64,28062.86
2021-12-01 00:00:00,11042.69,2.62,28931.85
2022-01-01 00:00:00,"11.503,89","2,60","29.910,11"
2022-02-01 00:00:00,12651.85,"2,54",32135.7
2022-03-01 00:00:00,13377.99,"2,55",34113.87
2022-04-01 00:00:00,14188.15,"2,54",36037.9
2022-05-01 00:00:00,14885.59,"2,54",37809.4
2022-06-01 00:00:00,15569.67,"2,55",39702.66
2022-07-01 00:00:00,16559.79,2.56,42393.06
2022-08-01 00:00:00,17820.85,2.56,45621.38
2022-09-01 00:00:00,19189.73,2.56,49125.71
2022-10-01 00:00:00,20974.31,2.55,53484.49
2022-11-01 00:00:00,21533.95,2.59,55772.93
2022-12-01 00:00:00,22586.55,2.58,58273.3
2023-01-01 00:00:00,24419.21,2.57,62757.37
2023-02-01 00:00:00,27244.43,2.5,68111.08
2023-03-01 00:00:00,29522.13,2.48,73214.88
2023-04-01 00:00:00,31454.94,2.46,77379.15
2023-05-01 00:00:00,32963.38,2.5,82408.45
2023-06-01 00:00:00,34667.35,2.53,87708.4
2023-07-01 00:00:00,37345.35,2.54,94857.19
2023-08-01 00:00:00,43685.03,2.48,108338.87
2023-09-01 00:00:00,49639.32,2.45,121616.33
2023-10-01 00:00:00,53647.73,2.44,130900.46
2023-11-01 00:00:00,61729.28,2.39,147532.98
2023-12-01 00:00:00,79988.22,2.34,187172.43
