anio,mes,total_exportacion_usd,prod_pri_exportacion_usd,origen_agro,origen_ind,combustible_y_energia,departamento_nombre
2017,enero,15178131.38,9662298.44,2863581.81,2652251.13,0.0,Ushuaia
2017,febrero,8573685.28,2921292.17,2756577.36,2895815.75,0.0,Ushuaia
2017,marzo,19389940.0,13964301.68,2061646.59,3363991.73,0.0,Ushuaia
2017,abril,14741477.18,8929104.36,3045044.92,2767327.9,0.0,Ushuaia
2017,mayo,8309416.44,4952842.69,2107067.98,1249505.77,0.0,Ushuaia
2017,junio,10526658.7,3688596.52,2755054.99,4083007.19,0.0,Ushuaia
2017,julio,3430088.73,1976955.97,1337648.1,115484.66,0.0,Ushuaia
2017,agosto,5920550.67,3950906.53,1969644.14,0.0,0.0,Ushuaia
2017,septiembre,4640804.23,214309.7,173400.0,4253094.53,0.0,Ushuaia
2017,octubre,1568637.7,1556684.91,0.0,11952.79,0.0,Ushuaia
2017,noviembre,11638881.6,9717296.21,1594868.82,326716.57,0.0,Ushuaia
2017,diciembre,9867486.79,8214523.72,1559466.76,93496.31,0.0,Ushuaia
2018,enero,16484775.98,9829285.08,5533945.47,1121545.43,0.0,Ushuaia
2018,febrero,4352555.24,3411030.9,925997.84,15526.5,0.0,Ushuaia
2018,marzo,9168917.3,4630537.29,4488506.96,49873.05,0.0,Ushuaia
2018,abril,19462056.39,12469969.44,3250198.51,3741888.44,0.0,Ushuaia
2018,mayo,8549857.14,4792721.08,1198345.75,2558790.31,0.0,Ushuaia
2018,junio,10809753.64,5252091.41,3999837.09,1557825.14,0.0,Ushuaia
2018,julio,8457625.18,5032086.58,1930557.4,1494981.2,0.0,Ushuaia
2018,agosto,7103584.9,3856878.73,3246706.17,0.0,0.0,Ushuaia
2018,septiembre,2738387.26,741254.05,1543362.78,453770.43,0.0,Ushuaia
2018,octubre,6821865.46,1794840.81,4760692.59,266332.06,0.0,Ushuaia
2018,noviembre,8310636.97,3917180.02,4393456.95,0.0,0.0,Ushuaia
2018,diciembre,9537279.12,8107180.47,1421858.08,8240.57,0.0,Ushuaia
2019,enero,23461098.75,6589279.0,6312456.39,2082491.01,8476872.35,Ushuaia
2019,febrero,19372627.76,7286692.39,3586768.8,1882383.54,6616783.03,Ushuaia
2019,marzo,9152766.31,2223731.59,2795157.07,10611.42,4123266.23,Ushuaia
2019,abril,16824455.74,12456476.14,3507686.84,677782.93,182509.83,Ushuaia
2019,mayo,13091911.05,6703651.06,4002639.74,2385620.25,0.0,Ushuaia
2019,junio,6969111.93,2936596.96,2858657.76,1173857.21,0.0,Ushuaia
2019,julio,15256817.98,9581077.74,4910040.37,765699.87,0.0,Ushuaia
2019,agosto,2079750.33,1573694.71,335498.67,170556.95,0.0,Ushuaia
2019,septiembre,5052764.56,1258873.18,3791242.62,2648.76,0.0,Ushuaia
2019,octubre,4166651.57,3526019.48,462441.99,0.0,178190.1,Ushuaia
2019,noviembre,9674601.26,6420385.65,221955.02,0.0,3032260.59,Ushuaia
2019,diciembre,17470346.24,1621292.5,4911682.3,3382.95,10933988.49,Ushuaia
2020,enero,28497653.52,7798875.14,6195345.08,10484.11,14492949.19,Ushuaia
2020,febrero,18917488.08,4474784.75,2016577.48,0.0,12426125.85,Ushuaia
2020,marzo,24735869.16,15772068.4,4785017.05,0.0,4178783.71,Ushuaia
2020,abril,7235346.79,2108017.17,4792569.62,334760.0,0.0,Ushuaia
2020,mayo,939095.92,929527.2,9568.72,0.0,0.0,Ushuaia
2020,junio,6902012.02,3473913.08,3428098.94,0.0,0.0,Ushuaia
2020,julio,2142172.51,1323117.41,819055.1,0.0,0.0,Ushuaia
2020,agosto,7012500.95,3475890.16,3536610.79,0.0,0.0,Ushuaia
2020,septiembre,2592182.3,1282011.53,1310170.77,0.0,0.0,Ushuaia
2020,octubre,3271368.27,696858.6,2574509.67,0.0,0.0,Ushuaia
2020,noviembre,7490513.05,3019505.77,4455007.28,16000.0,0.0,Ushuaia
2020,diciembre,3536735.49,2553868.11,979922.56,2944.82,0.0,Ushuaia
2021,enero,7560115.55,5934384.47,1625731.08,0.0,0.0,Ushuaia
2021,febrero,4039196.67,2821906.21,1217290.46,0.0,0.0,Ushuaia
2021,marzo,11958675.52,7092059.82,4572053.53,0.0,294562.17,Ushuaia
2021,abril,5167573.76,1624059.41,3543514.35,0.0,0.0,Ushuaia
2021,mayo,5954155.04,4161443.66,1792711.38,0.0,0.0,Ushuaia
2021,junio,7904110.32,6990140.07,913970.25,0.0,0.0,Ushuaia
2021,julio,4094875.75,643876.41,3450999.34,0.0,0.0,Ushuaia
2021,agosto,10143820.13,9640992.53,403398.99,99428.61,0.0,Ushuaia
2021,septiembre,3065602.76,1293069.28,1771704.08,829.4,0.0,Ushuaia
2021,octubre,2002481.46,1924349.08,78132.38,0.0,0.0,Ushuaia
2021,noviembre,3345147.94,261928.11,930137.0,0.0,2153082.83,Ushuaia
2021,diciembre,21075006.66,4900266.21,8005906.24,421021.22,7747812.99,Ushuaia
2022,enero,26627431.94,13427941.03,2343933.13,3900.0,10851657.78,Ushuaia
2022,febrero,17682286.34,2739616.88,4444547.42,1024841.0,9473281.04,Ushuaia
2022,marzo,18118328.46,10018924.62,3677649.73,192172.2,4229581.91,Ushuaia
2022,abril,20833058.23,16497853.3,3861809.57,0.0,473395.36,Ushuaia
2022,mayo,4688174.05,3096409.08,1581534.97,10230.0,0.0,Ushuaia
2022,junio,13239793.48,12795467.85,444325.63,0.0,0.0,Ushuaia
2022,julio,6258606.0,5302583.0,602175.0,47128.0,306720.0,Ushuaia
2022,agosto,4024145.73,3717756.83,273138.9,33250.0,0.0,Ushuaia
2022,septiembre,4399132.21,3444117.63,942014.58,13000.0,0.0,Ushuaia
2022,octubre,791529.82,70087.16,109324.0,27226.32,584892.34,Ushuaia
2022,noviembre,24492505.91,2425276.04,6169822.47,0.0,15897407.4,Ushuaia
2022,diciembre,33067488.29,3987054.45,2975109.71,10.8,26105313.33,Ushuaia
2023,enero,41654064.47,3207761.35,5277637.15,23076.0,33145589.97,Ushuaia
2023,febrero,31503695.17,2632031.62,5046982.12,50.0,23824631.43,Ushuaia
2023,marzo,30028473.57,7343149.13,4438681.94,0.0,18246642.5,Ushuaia
2023,abril,10138801.13,8897418.3,641552.92,58683.18,541146.73,Ushuaia
2023,mayo,3940597.0,3764703.0,153494.0,0.0,22400.0,Ushuaia
2023,junio,7977611.0,5954200.0,2023411.0,0.0,0.0,Ushuaia
2023,julio,9032225.0,7462658.0,1569566.0,0.0,0.0,Ushuaia
2023,agosto,3970943.0,2442470.0,1528473.0,0.0,0.0,Ushuaia
2023,septiembre,6531149.0,5747526.0,783623.0,0.0,0.0,Ushuaia
2023,octubre,1700396.0,56619.0,482706.0,0.0,1161071.18,Ushuaia
2023,noviembre,17477567.0,1106505.95,1520490.91,0.0,14850570.51,Ushuaia
2023,diciembre,29974466.0,5402294.0,4966906.0,0.0,19605266.0,Ushuaia
2017,enero,118334.49,0.0,0.0,118334.49,0.0,Río Grande
2017,febrero,6574.99,0.0,0.0,6574.99,0.0,Río Grande
2017,marzo,386758.81,0.0,0.0,386758.81,0.0,Río Grande
2017,abril,2079780.64,0.0,0.0,2079780.64,0.0,Río Grande
2017,mayo,2548560.42,0.0,0.0,2548560.42,0.0,Río Grande
2017,junio,2070403.6,0.0,0.0,2070403.6,0.0,Río Grande
2017,julio,2042200.6,0.0,0.0,2042200.6,0.0,Río Grande
