Mes,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y mantenimiento del hogar,Salud,Transporte,Comunicación,Recreación y cultura,Educación,Restaurantes y hoteles,Bienes y servicios varios
2016-12-01 00:00:00,100,100,100,100,100,100,100,100,100,100,100,100,100
2017-01-01 00:00:00,102.5593,100.9464,101.1901,100.9137,110.3184,101.0684,104.7253,102.4768,101.6649,100.9612,106.9917,102.2654,102.4839
2017-02-01 00:00:00,104.2827,102.2499,105.356,102.3756,112.0198,101.2819,107.0073,104.4111,105.7368,102.5319,106.687,105.6675,104.2815
2017-03-01 00:00:00,106.5167,103.9781,106.5579,104.7865,115.3729,102.3074,108.7254,106.3107,107.843,105.026,123.3177,105.4631,106.397
2017-04-01 00:00:00,108.6517,105.4772,109.665,105.76,119.3459,103.6556,110.6841,107.5492,115.2587,108.9559,123.6835,107.6891,108.838
2017-05-01 00:00:00,110.4897,107.5956,111.7105,106.9611,123.2025,105.8478,112.5553,108.0742,115.391,112.5688,123.8872,107.9996,109.8555
2017-06-01 00:00:00,111.7051,107.9237,112.9921,108.3356,124.7449,107.8202,114.4315,108.9388,116.2683,115.3037,124.1271,109.1265,111.9854
2017-07-01 00:00:00,113.3785,108.7052,115.8682,108.0861,127.5967,109.7282,117.2278,112.1956,117.0195,118.2348,124.9513,112.1018,112.7634
2017-08-01 00:00:00,115.3036,110.5112,117.2341,110.2047,131.1214,110.7126,119.4044,113.9424,119.0533,119.7007,126.1421,113.6027,114.9677
2017-09-01 00:00:00,116.7945,112.3235,117.6412,110.1829,133.0531,111.2591,123.4031,115.474,120.0112,121.4033,128.8272,114.9091,116.989
2017-10-01 00:00:00,118.7072,114.195,120.4857,111.3727,136.4261,112.0466,124.5727,117.1844,127.3895,122.6976,129.2188,117.1003,117.4246
2017-11-01 00:00:00,120.4376,115.737,121.7447,113.1277,137.5471,112.8317,126.4441,121.2482,128.5295,123.7168,129.28,118.6553,118.7065
2017-12-01 00:00:00,123.4627,116.9033,122.4634,114.6141,148.7892,115.8671,128.1483,127.0849,128.7291,124.5201,129.2407,121.7159,120.8962
2018-01-01 00:00:00,126.6303,118.4986,125.2117,114.249,163.279,117.3558,130.1754,129.8992,129.3685,129.179,129.5386,125.4157,123.1726
2018-02-01 00:00:00,129.2057,120.8223,127.1764,115.3175,164.2805,119.1917,132.4289,134.6826,139.867,131.1237,132.6279,128.1766,125.3071
2018-03-01 00:00:00,133.2304,123.3872,128.2198,119.375,172.2264,124.5389,135.4428,136.6484,143.5597,133.9383,157.6961,133.493,127.5974
2018-04-01 00:00:00,136.8583,126.3535,130.2582,124.3517,181.6787,127.7007,138.6275,140.1173,143.6053,135.4028,157.5463,136.3142,129.7781
2018-05-01 00:00:00,139.5783,129.6518,132.9564,125.4955,181.6514,130.5858,142.8435,144.1365,147.6632,139.329,158.6671,138.3012,132.3564
2018-06-01 00:00:00,144.143,135.4639,133.8452,127.315,182.4656,136.551,148.4642,152.3795,149.1522,145.4526,158.7554,141.3167,137.783
2018-07-01 00:00:00,148.7858,140.8969,137.686,126.7048,185.9403,142.7558,151.7314,161.9744,150.4334,152.5269,160.7528,143.9418,141.7763
2018-08-01 00:00:00,154.2103,147.1334,139.7977,129.0016,190.7651,149.2867,156.336,170.3602,164.3885,155.0644,161.773,148.0441,148.3679
2018-09-01 00:00:00,164.3327,157.1099,145.6936,134.8023,202.4343,161.4542,163.4901,190.5553,165.2684,163.6524,163.5234,154.6773,158.9233
2018-10-01 00:00:00,173.8678,166.211,148.0798,140.5762,222.3365,168.9205,170.8997,205.6491,167.362,171.4655,164.2507,160.5205,169.9279
2018-11-01 00:00:00,181.1502,174.5048,155.6366,146.6829,233.0847,177.113,184.3437,210.2431,171.2789,176.0567,164.7983,164.9491,180.8183
2018-12-01 00:00:00,185.9051,178.1426,157.9512,149.5705,237.1545,181.3766,195.4105,215.4542,185.0678,180.1208,164.7983,170.956,190.6629
2019-01-01 00:00:00,191.5466,182.7419,163.7076,152.4902,249.7567,186.2452,201.4854,217.9837,197.5211,187.4733,170.1785,176.8615,196.9325
2019-02-01 00:00:00,197.2864,189.2477,167.5029,154.3204,264.3265,191.9638,206.4482,223.3591,198.8516,189.5296,171.7439,182.4352,205.298
2019-03-01 00:00:00,205.753,200.9528,174.9426,162.1748,267.694,196.6706,213.3061,231.4402,209.1658,193.4662,209.4922,188.718,210.8663
