Año,Trimestre,Población total,Ingreso total (en miles),Ingreso medio per cápita (en pesos)
2017,1er trimestre,151966,1995313,13130
2017,2do trimestre,152940,2004062,13104
2017,3er trimestre,154078,2238184,14526
2017,4to trimestre,154882,2321392,14988
2018,1er trimestre,155872,2303532,14778
2018,2do trimestre,156772,2451815,15639
2018,3er trimestre,157720,2500662,15855
2018,4to trimestre,158763,2740321,17260
2019,1er trimestre,159849,2696176,16867
2019,2do trimestre,160663,2914771,18142
2019,3er trimestre,161737,3647719,22553
2019,4to trimestre,162591,3513621,21610
2020,1er trimestre,163447,3312330,20265
2020,2do trimestre,164444,3246709,19744
2020,3er trimestre,///,///,///
2020,4to trimestre,166252,4477513,26932
2021,1er trimestre,167155,5348119,31995
2021,2do trimestre,168019,5968212,35521
2021,3er trimestre,168841,7372593,43666
2021,4to trimestre,169787,7780265,45824
2022,1er trimestre,170625,9420415,55211
2022,2do trimestre,171465,10539637,61468
2022,3er trimestre,172313,14960126,86819
2022,4to trimestre,173203,17423573,100596
2023,1er trimestre,174036,21157371,121569
2023,2do trimestre,174900,24982821,142841
2023,3er trimestre,175743,35191629,200245
2023,4to trimestre,176575,44885165,254199
