departamento_nombre,anio,mes,cantidad_hechos,cantidad_hechos_inc_conocido,cantidad_hechos_inc_desconocido,cantidad_hechos_lugar_via_publ,cantidad_hechos_lugar_establec,cantidad_hechos_lugar_dom_part,cantidad_hechos_lugar_sd,cantidad_hechos_arma_sin_arma,cantidad_hechos_arma_sd,cantidad_hechos_origen_denuncia,cantidad_hechos_origen_intervenc,cantidad_hechos_origen_orden_jud,cantidad_hechos_origen_otro,cant_hechos_agrav_por_lesiones,cant_hechos_agrav_sin_lesiones,cantidad_inculpados,cantidad_inculpados_sexo_masc,cantidad_inculpados_sexo_fem,cantidad_inculpados_sexo_sd,cantidad_inculpados_edad_mas_18,cantidad_inculpados_edad_sd,fecha,población total,trimestre,ocupados con ingresos,poblacion_por_departamento,cba-linea de indigencia,inversa del coeficiente de engel,cba-linea de pobreza,nivel general,alimentos y bebidas no alcohólicas,bebidas alcohólicas y tabaco,prendas de vestir y calzado,"vivienda, agua, electricidad y otros combustibles",equipamiento y mantenimiento del hogar,salud,transporte,comunicación,recreación y cultura,educación,restaurantes y hoteles,bienes y servicios varios,impuesto_total,impuesto ingresos brutos,convenio multilateral,impuesto de sellos,impuesto inmobiliario,total_exportacion_usd,prod_pri_exportacion_usd,origen_agro,origen_ind,combustible_y_energia,cantidad_hechos_mes_pasado,cantidad_hechos_con_arma,inculpados_menores_edad,desocupados,elecciones,tasa_delitos,nivel_criminalistico
Río Grande,2017,1,121,18,103,25,11,82,3,120,0,94,27,0,0,0,0,23,19,4,0,22,0,2017-01-01,151966,1er trimestre,60412,88768,1848.5,2.74,5064.89,102.56,100.95,101.19,100.91,110.32,101.07,104.73,102.48,101.66,100.96,106.99,102.27,102.48,519283888.0,71123083.0,158601571.0,21718644.0,22115.0,118334.49,0.0,0.0,118334.49,0.0,,1,1,91554,no,136.31038211968277,Alto
Río Grande,2017,2,116,20,96,15,14,84,3,116,0,87,29,0,0,0,0,21,18,3,0,18,0,2017-02-01,151966,1er trimestre,60412,88768,1882.42,2.76,5195.48,104.28,102.25,105.36,102.38,112.02,101.28,107.01,104.41,105.74,102.53,106.69,105.67,104.28,467864648.0,57416525.0,144090087.0,17667071.0,223034.0,6574.99,0.0,0.0,6574.99,0.0,121,0,3,91554,no,130.67772170151406,Alto
Río Grande,2017,3,114,48,66,18,15,81,0,114,0,71,43,0,0,0,0,61,42,12,7,50,7,2017-03-01,151966,1er trimestre,60412,88768,1939.76,2.75,5334.34,106.52,103.98,106.56,104.79,115.37,102.31,108.73,106.31,107.84,105.03,123.32,105.46,106.4,482706552.0,69333643.0,145077379.0,17222376.0,149048.0,386758.81,0.0,0.0,386758.81,0.0,116,0,4,91554,no,128.42465753424656,Alto
Río Grande,2017,4,154,26,128,28,32,94,0,152,0,105,49,0,0,0,0,26,19,7,0,25,0,2017-04-01,152940,2do trimestre,62512,88768,1975.67,2.78,5492.36,108.65,105.48,109.66,105.76,119.35,103.66,110.68,107.55,115.26,108.96,123.68,107.69,108.84,596500020.0,63108045.0,235841071.0,20348071.0,25087.0,2079780.64,0.0,0.0,2079780.64,0.0,114,2,1,90428,no,173.48594087959623,Alto
Río Grande,2017,5,117,22,95,26,5,86,0,114,0,85,32,0,0,0,0,22,18,4,0,22,0,2017-05-01,152940,2do trimestre,62512,88768,1994.94,2.78,5545.93,110.49,107.6,111.71,106.96,123.2,105.85,112.56,108.07,115.39,112.57,123.89,108.0,109.86,584560675.0,67983284.0,194554548.0,23899008.0,9975.0,2548560.42,0.0,0.0,2548560.42,0.0,154,3,0,90428,no,131.8042537851478,Alto
Río Grande,2017,6,96,17,79,25,9,62,0,94,0,74,22,0,0,0,0,17,17,0,0,17,0,2017-06-01,152940,2do trimestre,62512,88768,2012.13,2.79,5613.84,111.71,107.92,112.99,108.34,124.74,107.82,114.43,108.94,116.27,115.3,124.13,109.13,111.99,489144849.0,63009634.0,171816388.0,19613102.0,108620.0,2070403.6,0.0,0.0,2070403.6,0.0,117,2,0,90428,no,108.14708002883921,Alto
Río Grande,2017,7,126,26,100,28,16,81,1,124,0,78,48,0,0,0,0,26,18,8,0,25,0,2017-07-01,154078,3er trimestre,60674,88768,2034.9,2.78,5657.02,113.38,108.71,115.87,108.09,127.6,109.73,117.23,112.2,117.02,118.23,124.95,112.1,112.76,538634167.0,63689949.0,194434685.0,22630606.0,59095.0,2042200.6,0.0,0.0,2042200.6,0.0,96,2,1,93404,no,141.94304253785148,Alto
Río Grande,2017,8,100,19,81,15,11,74,0,98,0,56,44,0,0,0,0,21,21,0,0,16,0,2017-08-01,154078,3er trimestre,60674,88768,2074.38,2.77,5746.03,115.3,110.51,117.23,110.2,131.12,110.71,119.4,113.94,119.05,119.7,126.14,113.6,114.97,577771182.0,70387541.0,211244393.0,22022743.0,163149.0,8887857.94,0.0,0.0,656027.08,8231830.86,126,2,5,93404,no,112.65320836337418,Alto
Río Grande,2017,9,133,28,105,35,17,81,0,132,0,101,32,0,0,0,0,30,26,4,0,26,0,2017-09-01,154078,3er trimestre,60674,88768,2101.72,2.77,5821.76,116.79,112.32,117.64,110.18,133.05,111.26,123.4,115.47,120.01,121.4,128.83,114.91,116.99,906097655.0,69479020.0,220094565.0,23063389.0,1357.0,6513199.06,0.0,0.0,15567.2,6497631.86,100,1,4,93404,no,149.82876712328766,Alto
Río Grande,2017,10,126,32,94,28,26,70,2,122,1,66,59,0,1,0,0,43,39,4,0,36,5,2017-10-01,154882,4to trimestre,63110,88768,2137.17,2.77,5919.96,118.71,114.2,120.49,111.37,136.43,112.05,124.57,117.18,127.39,122.7,129.22,117.1,117.42,591271761.0,73739587.0,221526371.0,28954959.0,1187217.0,6593238.45,0.0,0.0,1089599.4,5503639.05,133,3,2,91772,legislativa,141.94304253785148,Alto
