Mes,Total,Impuesto ingresos brutos,Convenio multilateral,Impuesto de sellos,Impuesto inmobiliario,Otros ingresos
2017-01-01 00:00:00,519283888.13,71123082.74000001,158601571.24,21718643.73,22114.72,267818475.7
2017-02-01 00:00:00,467864648.18,57416525.0,144090086.67,17667070.79,223033.69,248467932.03000003
2017-03-01 00:00:00,482706552,69333642.61,145077379.06,17222376.16,149048,250924106.5
2017-04-01 00:00:00,596500019.89,63108044.88,235841071.23,20348071.09,25086.86,277177745.83
2017-05-01 00:00:00,584560675,67983284.1,194554547.7,23899008.19,9974.57,298113860.1
2017-06-01 00:00:00,489144849.45,63009633.64,171816388.48,19613101.63,108619.71,234597105.98999998
2017-07-01 00:00:00,538634167,63689949.36,194434684.64,22630605.63,59095.31,257819831.9
2017-08-01 00:00:00,577771182,70387541.45,211244392.76,22022742.88,163148.73,273953356.03
2017-09-01 00:00:00,906097654.59,69479020.31,220094565.14,23063389.0,1356.89,593459323.44
2017-10-01 00:00:00,591271760.54,73739586.52,221526370.52,28954958.97,1187216.9,265863627.63
2017-11-01 00:00:00,589611072.15,81082650.19,206923452.35,26028991.99,2268258.84,273307718.78000003
2017-12-01 00:00:00,797701550.72,95778793.59,213132796.92,29025593.9,238940.65,459525425.6600001
2018-01-01 00:00:00,683959149.04,86426987.25,243324870.37,26241102.24,439616.71,327526572.46999997
2018-02-01 00:00:00,681610749.75,76483900.15,242199661.56,21391238.09,17313.32,341518636.63
2018-03-01 00:00:00,689632247.53,78643871.69,243746984.11,24955562.28,19632.99,342266196.4599999
2018-04-01 00:00:00,736478054.3199999,91677776.89,263555796.49,25951885.01,26012.12,355266583.81
2018-05-01 00:00:00,825691666.63,91069096.4,294029379.8,33173481.33,24666.13,407395042.96999997
2018-06-01 00:00:00,883355100.12,74390443.11,290267820.5,24814446.56,101989,493780401.0
2018-07-01 00:00:00,900955763.79,98295462.76,251634249.24,25548309.75,24152.92,525453589.12
2018-08-01 00:00:00,874625021.31,96271997.8,233076270.98,27494974.04,60990.87,517720787.62
2018-09-01 00:00:00,992193480.73,94762045.52999999,285347328.04,25797728.13,2862.66,586283516.34
2018-10-01 00:00:00,975928621.9300001,95882786.55,268214411.82,28331904.82,58984.61,583440534.13
2018-11-01 00:00:00,967082387.4200001,93003851.58,260428257.16,28364290.64,2106737.67,583179250.37
2018-12-01 00:00:00,903748433.8500001,105140968.8,273080142.97,31041224.03,577151.85,493908946.2
2019-01-01 00:00:00,934477862.28,108193729.0,257587772.47,27601087.18,53387.47,541041886.16
2019-02-01 00:00:00,846207695.11,92787850.5,262530046.39,28165654.49,36766.63,462687377.1
2019-03-01 00:00:00,863614128.6599998,86031437.18,245827563.44,27027860.14,35254.71,504692013.2
2019-04-01 00:00:00,986138252.04,98013493.86,277864146.28,30914418.35,39242.49,579306951.1
2019-05-01 00:00:00,1223114876.62,121928720.5,357885743.83,36116436.71,162183.75,707021791.9
2019-06-01 00:00:00,1082028725.9299998,110056339.0,324319271.71,30008825.05,8018.36,617636271.8
2019-07-01 00:00:00,1123551356.03,112979146.1,340727699.11,32635167.54,43355.38,637165987.9
2019-08-01 00:00:00,1182397590.03,118982829.9,305678659.23,28598064.72,8375.04,729129661.2
2019-09-01 00:00:00,1229441368.06,118596020.9,323151248.01,40578773.62,2843.66,747112481.8
2019-10-01 00:00:00,1247506267.94,120348655.3,330685833.03,32348848.58,-,764122931.0
2019-11-01 00:00:00,1173180439.32,127709641.1,319816277.71,35330847.63,1556941.53,688766731.31
2019-12-01 00:00:00,1076727077.18,123520170.9,286968938.24,39123647.94,266810.12,626847510.0
