Mes,Total,Impuesto ingresos brutos,Convenio multilateral,Impuesto de sellos,Impuesto inmobiliario,Otros ingresos
2020-01-20 00:00:00,1251929512.06,135847036.74,369561991.56,34173025.61,140972.62,128675709.74
2020-02-01 00:00:00,1142552416.65,91342422.79,431307808.97,33043812.67,17101.14,93701043.0
2020-03-01 00:00:00,1112673664.82,113805176.7,357083390.87,38569412.22,22010.96,123776208.56
2020-04-01 00:00:00,1049026764.5,89959877.33999999,316086794.28,19628833.45,-,89808421.01
2020-05-01 00:00:00,900337204.09,114837220.9,269308729.62,26818321.73,1656.12,46524900.02
2020-06-01 00:00:00,971030868.6600001,94433862.22,252205415.17,33170925.91,1884.86,83474562.86
2020-07-01 00:00:00,1221349194.91,131832552.2,353566401.75,34941072.55,14477.87,157907214.51
2020-08-01 00:00:00,1328463393.71,109361034.51,419963671.17,44778762.24,16366.18,196069025.21
2020-09-01 00:00:00,1238006484.99,119671250.9,407064440.19,31794263.06,20472.49,123928457.37
2020-10-01 00:00:00,1359190425.8000002,124507298.8,386771404.59,53007145.45,-,219611102.24
2020-11-01 00:00:00,1455858235.69,147953755.2,444606941.05,46056077.39,2007654.37,242871290.52
2020-12-01 00:00:00,1536048963.12,157289456.9,449391630.0,39434785.01,646048.85,299488775.38
2021-01-21 00:00:00,1868019092.38,166017089.26,575731497.98,51679549.57,141427.65,250594057.85
2021-02-21 00:00:00,1647030783.74,137596563.05,520958827.3,55577458.15,129147.1,204652645.77
2021-03-21 00:00:00,1808983347.34,161136011.95,524158076.39,62543507.44,110671.35,249224077.26
2021-04-21 00:00:00,1998914471.25,188864571.27,616438065.35,67052879.26,69542.85,303234351.75
2021-05-21 00:00:00,1951855604.74,205621344.94,540560976.7,63013728.71,30150.79,307714362.26
2021-06-21 00:00:00,2223852894.01,226439203.92,598194706.3,61384511.05,62200.09,278487132.99
2021-07-21 00:00:00,2342713265.07,261710952.99,577676285.46,64784527.25,42779.92,351093831.37
2021-08-21 00:00:00,2506435561.55,324048883.74,644283757.89,103034463.58,8795.3,346155396.88
2021-09-21 00:00:00,2490379793.74,368999432.24,621235865.15,81357146.15,40346.66,319205089.61
2021-10-21 00:00:00,2423886440.09,328897844.0,609310384.38,86621925.0,49857.91,317001018.74
2021-11-21 00:00:00,2333425380,336421038.0,614371025.06,97062574.52,2274617.03,286760870.27
2021-12-22 00:00:00,2404225387.22,372793624.57,605287542.79,83867522.17,628352.8,328253992.67
2022-01-22 00:00:00,2829945152.52,418422140.15,784618907.39,92733777.4,34354.81,297768957.56
2022-02-22 00:00:00,2360299261.72,334596479.0,600079857.0,85583697.89,55973.58,230163135.39
2022-03-22 00:00:00,2591035565.22,412806308.15,631383850.42,105556613.05,475529.61,321850970.34
2022-04-22 00:00:00,2960248011.48,440637624.0,853377955.21,123584902.59,42974.13,462841550.33
2022-05-22 00:00:00,3109133386.42,494614924.96,784791355.01,104290828.79,173145.12,415640270.44
2022-06-22 00:00:00,3694668696.04,506629430.0,926120933.82,118536297.53,103703.07,528043335.38
2022-07-22 00:00:00,4326445112.71,669859587.0,1125147882.33,124904221.63,564081.35,658352760.94
2022-08-22 00:00:00,4712722321,707472937.0,964544857.96,151663467.05,241424.74,1002969024.34
2022-09-22 00:00:00,4715592322.3,662819057.47,1151550324.53,119105585.36,139050.24,810360931.86
2022-10-22 00:00:00,4736091654.51,646665226.0,1099518242.04,143744318.55,114854.4,898921273.11
2022-11-22 00:00:00,5126861791.63,675319889.4,1321734660.93,183067698.39,3019550.42,1031977910.17
2022-12-22 00:00:00,5374135389,811998992.7600001,1187378054.27,153180406.22,263586.61,1231281743.38
2023-01-23 00:00:00,6124916407.36,965360902.03,1330157855.01,327835661.25,208222.16,897360511.41
2023-02-24 00:00:00,4994213549.32,851650371.36,1265205555.2,186828248.47,46024.88,721489158.0
2023-03-23 00:00:00,5737454435.35,956840788.5,1213984471.75,226142561.7,315938.95,1115372071.16
2023-04-19 00:00:00,7005788888.12,1054348828.5,1697850045.38,274827783.9,208774.36,1540531119.4
2023-05-16 00:00:00,7081290196.34,1141467232.1499999,1820939334.26,245851688.88,28592.38,1369518832.36
2023-06-12 00:00:00,8035289203.82,1115846165.44,1989355833.48,234511675.53,73566.82,1517529545.85
2023-07-09 00:00:00,8827337573.57,1311112944.12,2202863350.04,314674889.57,17961.6,1653215161.01
2023-08-23 00:00:00,9176947692.86,1530400681.0,2249288195.56,349992463.09,28298.63,1297590346.05
sep-23,10801781549,1614646479.0,2473596079.0,365528202.0,9191,2124844610.0
2023-10-23 00:00:00,11669771881.49,1618598636.0,3093237483.0,353721777.0,192078,2150185519.0
2023-11-23 00:00:00,12211315350.12,1953575626.0,2648964894.0,476196721.0,2996364,1565910741.0
2023-12-23 00:00:00,15600520985.24,2257026544.0,2656054517.88,455518845.16,608609.71,2097392332.22
