0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Nivel general y divisiones COICOP,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-22 00:00:00,2022-06-22 00:00:00,2022-07-22 00:00:00,2022-08-22 00:00:00,2022-09-23 00:00:00,2022-10-25 00:00:00,2022-11-22 00:00:00,2022-12-20 00:00:00,2023-01-17 00:00:00,2023-02-23 00:00:00,2023-03-24 00:00:00,2023-04-22 00:00:00,2023-05-21 00:00:00,2023-06-19 00:00:00,2023-07-18 00:00:00,2023-08-16 00:00:00,2023-09-14 00:00:00,2023-10-13 00:00:00,2023-11-11 00:00:00,2023-12-10 00:00:00,2024-01-24 00:00:00,2024-02-09 00:00:00,2024-03-25 00:00:00,2024-04-22 00:00:00,2024-05-20 00:00:00,2024-06-17 00:00:00,2024-07-15 00:00:00,2024-08-12 00:00:00,2024-09-09 00:00:00,2024-10-07 00:00:00,2024-11-04 00:00:00,2024-12-02 00:00:00,2025-01-01 00:00:00,2025-02-09 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nivel general,100,102.5593,104.2827,106.5167,108.6517,110.4897,111.7051,113.3785,115.3036,116.7945,118.7072,120.4376,123.4627,126.6303,129.2057,133.2304,136.8583,139.5783,144.143,148.7858,154.2103,164.3327,173.8678,181.1502,185.9051,191.5466,197.2864,205.753,213.0509,220.3443,226.4422,232.2018,242.0023,254.7349,262.9941,274.9526,286.376,293.5954,298.8202,306.5854,308.4722,313.3862,319.4097,328.1311,337.675,345.3481,357.3048,367.7392,378.8585,394.4,409.6,426.2,446.5,462.2,478.1,494.1,511,530.1,545.3,557.2,574.5,595.1,623.9,670.3,709.8,744.3,782.1,845,899.5,954.6,1017.6,1067.5,1115.9,1181.6,1249.6,1336.7,1445,1550.1,1655.2,1784.3,2001,2280.9,2467.4,2762.3,3433.8,4264.5,4746.8,5243.3,5686.5,5943.6,6238,6497.6,6797.2,7050.5,7278.5,7517.9,7717.1,7910.5,8164.3,8434.2,8659.4
Alimentos y bebidas no alcohólicas,100,100.9464,102.2499,103.9781,105.4772,107.5956,107.9237,108.7052,110.5112,112.3235,114.195,115.737,116.9033,118.4986,120.8223,123.3872,126.3535,129.6518,135.4639,140.8969,147.1334,157.1099,166.211,174.5048,178.1426,182.7419,189.2477,200.9528,208.5937,215.0661,221.3372,226.5368,235.7925,248.2396,255.9146,270.0412,280.485,291.0005,298.9808,308.2663,309.3919,314.0004,317.4475,323.9068,335.1676,343.9195,360.1813,371.2628,382.4027,396,413.7,430.5,448.9,462.9,477.7,497.3,514.2,531.3,546.9,556.5,573,594.4,630,688,734.4,768.3,803.4,862.1,920.7,982.1,1053.1,1094.5,1131.4,1193.2,1290.4,1398.2,1535.9,1639.4,1732.4,1854.6,2109.9,2479,2662.2,3024.1,3872.3,4938.6,5416,5971.7,6302,6558.1,6851.7,7102.8,7446.6,7676.3,7804.1,8015,8169.6,8351.6,8718.4,8980,9258.3
Bebidas alcohólicas y tabaco,100,101.1901,105.356,106.5579,109.665,111.7105,112.9921,115.8682,117.2341,117.6412,120.4857,121.7447,122.4634,125.2117,127.1764,128.2198,130.2582,132.9564,133.8452,137.686,139.7977,145.6936,148.0798,155.6366,157.9512,163.7076,167.5029,174.9426,176.7706,180.6813,185.7194,186.9278,195.8166,208.0305,221.1988,233.8741,241.2029,252.2101,256.0541,264.1838,268.9391,268.3262,278.4546,282.2182,285.2349,297.0005,298.7982,309.9157,322.5887,336.5,349.6,370.7,382.4,388.6,408,418.8,425.7,450.4,459.7,463.5,485.9,494.3,506.5,540.8,553,582.4,622.6,655.7,700.2,763.9,802.5,854.9,915.3,987.2,1033.8,1126.9,1157.5,1254.9,1306.2,1441.7,1557.8,1744.7,1906.6,2112.3,2533.3,3119.4,3736.1,4166.5,4431.9,4738.1,4861.7,5131.1,5290,5389.9,5517.7,5766.9,5901.8,6044.4,6165.9,6224.6,6415.7
Prendas de vestir y calzado,100,100.9137,102.3756,104.7865,105.76,106.9611,108.3356,108.0861,110.2047,110.1829,111.3727,113.1277,114.6141,114.249,115.3175,119.375,124.3517,125.4955,127.315,126.7048,129.0016,134.8023,140.5762,146.6829,149.5705,152.4902,154.3204,162.1748,169.7424,176.6224,179.903,185.9299,192.3091,205.0109,212.5806,221.48,229.7283,235.4392,240.3657,244.0032,245.5048,253.8511,270.2815,286.4786,293.3026,302.044,315.5039,330.7152,337.1497,342.6,354.5,376.5,410.9,434.1,448.3,464.6,478.5,502.8,522.6,537.8,559.3,577.6,608.1,661.9,722.6,768.4,822,918.2,988.4,1067.3,1130.3,1189.3,1239.5,1288.1,1353.2,1458.7,1600.6,1703.8,1800,1905.5,2091,2388.4,2633.5,2905.3,3390.8,3801.3,4152.6,4694.2,5009.9,5263.2,5425.6,5600.4,5771.2,6001.8,6314.1,6453.3,6626.5,6705.7,6720.3,6985.4,7199.2
"Vivienda, agua, electricidad y otros combustibles",100,110.3184,112.0198,115.3729,119.3459,123.2025,124.7449,127.5967,131.1214,133.0531,136.4261,137.5471,148.7892,163.279,164.2805,172.2264,181.6787,181.6514,182.4656,185.9403,190.7651,202.4343,222.3365,233.0847,237.1545,249.7567,264.3265,267.694,270.5053,282.3963,290.1998,296.8043,302.6766,309.5901,313.4394,322.9582,327.4237,333.565,333.5563,337.5978,338.1969,338.0445,344.6003,348.4237,353.3063,358.5338,367.9452,376.7227,384.8952,390.3,396.3,403.7,424.7,431.2,436.7,449.6,466.7,481.1,490.5,499.4,508.8,531.4,546.7,595.8,628.3,643.2,675.5,712.8,735.2,755,806.9,856.6,893,965.7,1002.6,1045.7,1116.1,1200.3,1364.9,1444.7,1552.5,1749.9,1863.3,2012.2,2240.9,2649.2,3039.6,3354.8,4672.2,4772.1,5486.9,5876.5,6354.6,6761.4,7268,7855.4,8247.5,8575.1,9196.1,9627.7,9904
Equipamiento y mantenimiento del hogar,100,101.0684,101.2819,102.3074,103.6556,105.8478,107.8202,109.7282,110.7126,111.2591,112.0466,112.8317,115.8671,117.3558,119.1917,124.5389,127.7007,130.5858,136.551,142.7558,149.2867,161.4542,168.9205,177.113,181.3766,186.2452,191.9638,196.6706,205.7215,213.7961,221.6117,227.8503,243.5081,257.9072,274.1781,280.7169,294.037,294.168,298.8178,311.5604,312.1318,318.2735,325.656,344.1135,359.5478,366.1054,380.7133,395.8409,410.4037,426.6,444.2,453.2,474.8,485.3,501.9,516.7,535.6,553.3,572.5,590.3,610.4,625.5,648.6,674,702.2,735.7,772.3,859,921.1,979.7,1041.4,1098,1142.2,1213.4,1274.2,1329,1445.3,1569.7,1683.7,1841.4,2108.8,2415.3,2655.9,3035.4,3897.4,4911.4,5432.2,5606.2,6058,6215.4,6360.7,6587.1,6880.8,7085.7,7265.5,7341.6,7481.6,7609.7,7733.8,7878.2,7981
Salud,100,104.7253,107.0073,108.7254,110.6841,112.5553,114.4315,117.2278,119.4044,123.4031,124.5727,126.4441,128.1483,130.1754,132.4289,135.4428,138.6275,142.8435,148.4642,151.7314,156.336,163.4901,170.8997,184.3437,195.4105,201.4854,206.4482,213.3061,220.3908,230.2553,240.9543,250.2419,266.5123,285.5786,296.6257,316.1671,333.7231,330.7246,332.6348,341.5007,348.7851,355.7307,362.0806,369.8257,377.8584,393.2721,407.2255,418.775,432.9217,446.8,467.7,484.6,506.6,527.8,542.1,563.1,585.4,606,629.2,650.2,653.4,675.7,705.3,739.8,781.9,831.7,885.4,936.8,994.9,1042.7,1111.3,1158.9,1224.9,1280.2,1345.5,1428.6,1507,1662.8,1799.1,1972.2,2259.3,2508.3,2647.2,3015,3981.1,4859,5459.7,6048.6,6566.4,6732.5,7093,7472.6,7711.5,8048.4,8508.8,8749,8870.8,9149.2,9346.4,9600.2,9839.5
